drug_name	drug_id	ind_name	ind_id	NCT	status	phase	DetailedStatus	label	functional_failure	doid_code	doid_name
Acetylsalicylic acid	DB00945	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Naratriptan	DB00952	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Rizatriptan	DB00953	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Frovatriptan	DB00998	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Phenobarbital	DB01174	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Pyrimethamine	DB00205	Malaria	C0024530		Approved			1		DOID:12365	malaria
Chloroquine	DB00608	Malaria	C0024530	NCT00442403	Suspended	Phase 3	At the end of the year 2002, Cameroon switched from chloroquine to amodiaquine as first-line    therapy for of uncomplicated malaria.	0	True	DOID:12365	malaria
Clindamycin	DB01190	Malaria	C0024530	NCT01002183	Withdrawn	Phase 2	Drug combination is no longer pursued	0	True	DOID:12365	malaria
Mefloquine	DB00358	Malaria	C0024530	NCT01615822	Terminated	Phase 1	Decision taken to halt progression of mefloquine as a potential partner for OZ439 as a single    dose cure due to low probability of success	0	True	DOID:12365	malaria
Diflorasone	DB00223	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Alclometasone	DB00240	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Amcinonide	DB00288	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Betamethasone	DB00443	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Desoximetasone	DB00547	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Hydroxyzine	DB00557	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Fluticasone Propionate	DB00588	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Fluocinolone Acetonide	DB00591	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Triamcinolone	DB00620	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Flumethasone	DB00663	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Hydrocortisone	DB00741	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Flurandrenolide	DB00846	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Prednisolone	DB00860	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Methylprednisolone	DB00959	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Prednicarbate	DB01130	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Dexamethasone	DB01234	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Ammonium lactate	DB06768	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Halcinonide	DB06786	Dermatitis, Atopic	C0011615		Approved			1		DOID:3310	atopic dermatitis
Cladribine	DB00242	Hairy Cell Leukemia	C0023443		Approved			1		DOID:2531	hematologic cancer
Pentostatin	DB00552	Hairy Cell Leukemia	C0023443		Approved			1		DOID:2531	hematologic cancer
Ziprasidone	DB00246	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Olanzapine	DB00334	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Carbamazepine	DB00564	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Risperidone	DB00734	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Aripiprazole	DB01238	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Cariprazine	DB06016	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Asenapine	DB06216	Mixed bipolar I disorder	C0236780		Approved			1		DOID:3312	bipolar disorder
Dapsone	DB00250	Leprosy	C0023343		Approved			1		DOID:1024	leprosy
Clofazimine	DB00845	Leprosy	C0023343		Approved			1		DOID:1024	leprosy
Phenytoin	DB00252	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Pentobarbital	DB00312	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Valproic Acid	DB00313	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Trimethadione	DB00347	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Secobarbital	DB00418	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Lamotrigine	DB00555	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Carbamazepine	DB00564	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Thiopental	DB00599	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Paramethadione	DB00617	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Primidone	DB00794	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Phensuximide	DB00832	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Methylphenobarbital	DB00849	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Felbamate	DB00949	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Phenacemide	DB01121	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Phenobarbital	DB01174	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Fosphenytoin	DB01320	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Amobarbital	DB01351	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Methsuximide	DB05246	Epilepsy	C0014544		Approved			1		DOID:1826	epilepsy syndrome
Topiramate	DB00273	Epilepsy	C0014544	NCT00563459	Terminated	Phase 3	Carisbamate partial onset seizures studies lacked consistent efficacy data so trials in this    indication were terminated.	0	True	DOID:1826	epilepsy syndrome
Piracetam	DB09210	Epilepsy	C0014544	NCT00563459	Terminated	Phase 3	Carisbamate partial onset seizures studies lacked consistent efficacy data so trials in this    indication were terminated.	0	True	DOID:1826	epilepsy syndrome
Zonisamide	DB00909	Epilepsy	C0014544	NCT00693017	Terminated	Phase 3	Sponsor's decision	0	True	DOID:1826	epilepsy syndrome
Zonisamide	DB00909	Epilepsy	C0014544	NCT00692003	Terminated	Phase 3	Sponsor's decision	0	True	DOID:1826	epilepsy syndrome
Ezogabine	DB04953	Epilepsy	C0014544	NCT01494584	Terminated	Phase 2	Terminated after placing the study on hold at the request of the FDA	0	True	DOID:1826	epilepsy syndrome
Ezogabine	DB04953	Epilepsy	C0014544	NCT01648101	Terminated	Phase 3	Registration of the medicine is no longer being pursued in South Korea, Taiwan or Vietnam	0	True	DOID:1826	epilepsy syndrome
Ezogabine	DB04953	Epilepsy	C0014544	NCT01668654	Terminated	Phase 3	FDA placed a clinical hold on the Pediatric Program requiring retigabine discontinuation in    subjects; early termination allows for timely reporting of results.	0	True	DOID:1826	epilepsy syndrome
Eslicarbazepine acetate	DB09119	Epilepsy	C0014544	NCT02172755	Terminated	Phase 1	occurrence of a serious adverse event	0	True	DOID:1826	epilepsy syndrome
Phenytoin	DB00252	Epilepsies, Partial	C0014547		Approved			1		DOID:1826	epilepsy syndrome
Carbamazepine	DB00564	Epilepsies, Partial	C0014547		Approved			1		DOID:1826	epilepsy syndrome
Oxcarbazepine	DB00776	Epilepsies, Partial	C0014547		Approved			1		DOID:1826	epilepsy syndrome
Primidone	DB00794	Epilepsies, Partial	C0014547		Approved			1		DOID:1826	epilepsy syndrome
Phenytoin	DB00252	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Topiramate	DB00273	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Carbamazepine	DB00564	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Ethotoin	DB00754	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Primidone	DB00794	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Methylphenobarbital	DB00849	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Phenobarbital	DB01174	Tonic-Clonic Epilepsy	C0014549		Approved			1		DOID:1826	epilepsy syndrome
Anagrelide	DB00261	Thrombocythemia, Essential	C0040028		Approved			1		DOID:2531	hematologic cancer
Carmustine	DB00262	Malignant neoplasm of brain	C0153633		Approved			1		DOID:1319	brain cancer
Carmustine	DB00262	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Bleomycin	DB00290	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Chlorambucil	DB00291	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Betamethasone	DB00443	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Vincristine	DB00541	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Vinblastine	DB00570	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Triamcinolone	DB00620	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Prednisone	DB00635	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Hydrocortisone	DB00741	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Dacarbazine	DB00851	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Prednisolone	DB00860	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Mechlorethamine	DB00888	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Methylprednisolone	DB00959	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Doxorubicin	DB00997	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Procarbazine	DB01168	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Lomustine	DB01206	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Dexamethasone	DB01234	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Cortisone acetate	DB01380	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Thiotepa	DB04572	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Brentuximab vedotin	DB08870	Hodgkin Disease	C0019829		Approved			1		DOID:2531	hematologic cancer
Cyclophosphamide	DB00531	Hodgkin Disease	C0019829	NCT00626626	Terminated	Phase 1/Phase 2	Investigator decision	0	True	DOID:2531	hematologic cancer
Clofarabine	DB00631	Hodgkin Disease	C0019829	NCT00626626	Terminated	Phase 1/Phase 2	Investigator decision	0	True	DOID:2531	hematologic cancer
Carmustine	DB00262	Malignant Glioma	C0555198		Approved			1		DOID:3070	malignant glioma
Carmustine	DB00262	Glioblastoma multiforme of brain	C0349543		Approved			1		DOID:1319	brain cancer
Temozolomide	DB00853	Glioblastoma multiforme of brain	C0349543		Approved			1		DOID:1319	brain cancer
Sulfisoxazole	DB00263	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Quinine	DB00468	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Chloroquine	DB00608	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Atovaquone	DB01117	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Proguanil	DB01131	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Halofantrine	DB01218	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Hydroxychloroquine	DB01611	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Lumefantrine	DB06708	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Artesunate	DB09274	Malaria, Falciparum	C0024535		Approved			1		DOID:12365	malaria
Metoprolol	DB00264	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Dicoumarol	DB00266	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Atenolol	DB00335	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Lisinopril	DB00722	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Salicylic acid	DB00936	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Acetylsalicylic acid	DB00945	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Phenprocoumon	DB00946	Myocardial Infarction	C0027051		Approved			1		DOID:3393	coronary artery disease
Fondaparinux sodium	DB00569	Myocardial Infarction	C0027051	NCT00060554	Withdrawn	Phase 2	Drug sold to Sanofi-Aventis who sold it to GSK; OBS no longer owns study and does not have    data.	0	True	DOID:3393	coronary artery disease
Ticlopidine	DB00208	Myocardial Infarction	C0027051	NCT00557921	Terminated	Phase 3	Terminated by Sponsor	0	True	DOID:3393	coronary artery disease
Clopidogrel	DB00758	Myocardial Infarction	C0027051	NCT00557921	Terminated	Phase 3	Terminated by Sponsor	0	True	DOID:3393	coronary artery disease
Ropinirole	DB00268	Restless Legs Syndrome	C0035258		Approved			1		DOID:0050425	restless legs syndrome
Pramipexole	DB00413	Restless Legs Syndrome	C0035258		Approved			1		DOID:0050425	restless legs syndrome
Gabapentin	DB00996	Restless Legs Syndrome	C0035258		Approved			1		DOID:0050425	restless legs syndrome
Rotigotine	DB05271	Restless Legs Syndrome	C0035258		Approved			1		DOID:0050425	restless legs syndrome
gabapentin enacarbil	DB08872	Restless Legs Syndrome	C0035258		Approved			1		DOID:0050425	restless legs syndrome
Theophylline	DB00277	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Betamethasone	DB00443	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Triamcinolone	DB00620	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Hydrocortisone	DB00741	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Prednisolone	DB00860	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Methylprednisolone	DB00959	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Aminophylline	DB01223	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Cortisone acetate	DB01380	Status Asthmaticus	C0038218		Approved			1		DOID:2841	asthma
Liothyronine	DB00279	Malignant neoplasm of thyroid	C0007115		Approved			1		DOID:1781	thyroid cancer
Levothyroxine	DB00451	Malignant neoplasm of thyroid	C0007115		Approved			1		DOID:1781	thyroid cancer
Doxorubicin	DB00997	Malignant neoplasm of thyroid	C0007115		Approved			1		DOID:1781	thyroid cancer
Liothyronine	DB00279	Myxedema	C0027145		Approved			1		DOID:1459	hypothyroidism
Levothyroxine	DB00451	Myxedema	C0027145		Approved			1		DOID:1459	hypothyroidism
Liothyronine	DB00279	Congenital Hypothyroidism	C0010308		Approved			1		DOID:1459	hypothyroidism
Levothyroxine	DB00451	Congenital Hypothyroidism	C0010308		Approved			1		DOID:1459	hypothyroidism
Bleomycin	DB00290	Malignant tumor of cervix	C0007847		Approved			1		DOID:4362	cervical cancer
Topotecan	DB01030	Malignant tumor of cervix	C0007847		Approved			1		DOID:4362	cervical cancer
Bleomycin	DB00290	Testicular Germ Cell Tumor	C1336708		Approved			1		DOID:2998	testicular cancer
Cisplatin	DB00515	Testicular Germ Cell Tumor	C1336708		Approved			1		DOID:2998	testicular cancer
Ifosfamide	DB01181	Testicular Germ Cell Tumor	C1336708		Approved			1		DOID:2998	testicular cancer
Mesna	DB09110	Testicular Germ Cell Tumor	C1336708		Approved			1		DOID:2998	testicular cancer
Bleomycin	DB00290	Malignant neoplasm of penis	C0153601		Approved			1		DOID:11615	penile cancer
Mitomycin	DB00305	Adenocarcinoma of pancreas	C0281361		Approved			1		DOID:1793	pancreatic cancer
Gemcitabine	DB00441	Adenocarcinoma of pancreas	C0281361		Approved			1		DOID:1793	pancreatic cancer
Erlotinib	DB00530	Adenocarcinoma of pancreas	C0281361		Approved			1		DOID:1793	pancreatic cancer
Fluorouracil	DB00544	Adenocarcinoma of pancreas	C0281361		Approved			1		DOID:1793	pancreatic cancer
Vindesine	DB00309	Myeloid Leukemia, Chronic	C0023473		Approved			1		DOID:2531	hematologic cancer
Uracil mustard	DB00791	Myeloid Leukemia, Chronic	C0023473		Approved			1		DOID:2531	hematologic cancer
Mechlorethamine	DB00888	Myeloid Leukemia, Chronic	C0023473		Approved			1		DOID:2531	hematologic cancer
Hydroxyurea	DB01005	Myeloid Leukemia, Chronic	C0023473		Approved			1		DOID:2531	hematologic cancer
Homoharringtonine	DB04865	Myeloid Leukemia, Chronic	C0023473		Approved			1		DOID:2531	hematologic cancer
Ponatinib	DB08901	Myeloid Leukemia, Chronic	C0023473		Approved			1		DOID:2531	hematologic cancer
Vindesine	DB00309	melanoma	C0025202		Approved			1		DOID:1909	melanoma
Hydroxyurea	DB01005	melanoma	C0025202		Approved			1		DOID:1909	melanoma
Lovastatin	DB00227	melanoma	C0025202	NCT00963664	Withdrawn	Phase 2	Modifications will be necessary before full IRB approval will be secured.	0	True	DOID:1909	melanoma
Imiquimod	DB00724	melanoma	C0025202	NCT01543464	Terminated	Phase 2	Diminished rectruitment	0	True	DOID:1909	melanoma
Temozolomide	DB00853	melanoma	C0025202	NCT01543464	Terminated	Phase 2	Diminished rectruitment	0	True	DOID:1909	melanoma
Gefitinib	DB00317	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Vinorelbine	DB00361	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Gemcitabine	DB00441	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Erlotinib	DB00530	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Pemetrexed	DB00642	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Porfimer	DB00707	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Paclitaxel	DB01229	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Docetaxel	DB01248	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Ramucirumab	DB05578	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Nivolumab	DB09035	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Pembrolizumab	DB09037	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Nintedanib	DB09079	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Necitumumab	DB09559	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Alectinib	DB11363	Non-Small Cell Lung Carcinoma	C0007131		Approved			1		DOID:1324	lung cancer
Sorafenib	DB00398	Non-Small Cell Lung Carcinoma	C0007131	NCT00417248	Terminated	Phase 1/Phase 2	Negative sorafenib results from ESCAPE trial and safety concerns of regimen	0	True	DOID:1324	lung cancer
Cisplatin	DB00515	Non-Small Cell Lung Carcinoma	C0007131	NCT00417248	Terminated	Phase 1/Phase 2	Negative sorafenib results from ESCAPE trial and safety concerns of regimen	0	True	DOID:1324	lung cancer
Etoposide	DB00773	Non-Small Cell Lung Carcinoma	C0007131	NCT00417248	Terminated	Phase 1/Phase 2	Negative sorafenib results from ESCAPE trial and safety concerns of regimen	0	True	DOID:1324	lung cancer
Bevacizumab	DB00112	Non-Small Cell Lung Carcinoma	C0007131	NCT00404703	Terminated	Phase 2	Primary (safety) endpoint reached	0	True	DOID:1324	lung cancer
Bevacizumab	DB00112	Non-Small Cell Lung Carcinoma	C0007131	NCT00434226	Terminated	Phase 2	Based on data collected, the combination appeared to be poorly tolearated.	0	True	DOID:1324	lung cancer
Carboplatin	DB00958	Non-Small Cell Lung Carcinoma	C0007131	NCT00434226	Terminated	Phase 2	Based on data collected, the combination appeared to be poorly tolearated.	0	True	DOID:1324	lung cancer
Sunitinib	DB01268	Non-Small Cell Lung Carcinoma	C0007131	NCT00434226	Terminated	Phase 2	Based on data collected, the combination appeared to be poorly tolearated.	0	True	DOID:1324	lung cancer
Carboplatin	DB00958	Non-Small Cell Lung Carcinoma	C0007131	NCT00460317	Terminated	Phase 3	Amgen discontinued the development of AMG706 because 20050201 did not meet its primary    objective.	0	True	DOID:1324	lung cancer
Dasatinib	DB01254	Non-Small Cell Lung Carcinoma	C0007131	NCT00826449	Terminated	Phase 1/Phase 2	Closed early due to determination of futility/efficacy.	0	True	DOID:1324	lung cancer
Pegfilgrastim	DB00019	Non-Small Cell Lung Carcinoma	C0007131	NCT00862134	Terminated	Phase 2	Interim analysis indicated low probability of clinically significant result	0	True	DOID:1324	lung cancer
Cyclophosphamide	DB00531	Non-Small Cell Lung Carcinoma	C0007131	NCT01015443	Terminated	Phase 3	The study is terminated prematurely as the sponsor decided to discontinue program with    Tecemotide in NSCLC.	0	True	DOID:1324	lung cancer
Carboplatin	DB00958	Non-Small Cell Lung Carcinoma	C0007131	NCT01184287	Withdrawn	Phase 2	Program discontinued	0	True	DOID:1324	lung cancer
Floxuridine	DB00322	Malignant neoplasm of liver	C0345904		Approved			1		DOID:3571	liver cancer
Nitroprusside	DB00325	Malignant essential hypertension	C0024588		Approved			1		DOID:10763	hypertension
Fenoldopam	DB00800	Malignant essential hypertension	C0024588		Approved			1		DOID:10763	hypertension
Indomethacin	DB00328	Gout	C0018099		Approved			1		DOID:13189	gout
Allopurinol	DB00437	Gout	C0018099		Approved			1		DOID:13189	gout
Naproxen	DB00788	Gout	C0018099		Approved			1		DOID:13189	gout
Colchicine	DB01394	Gout	C0018099		Approved			1		DOID:13189	gout
Ipratropium bromide	DB00332	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Glycopyrronium	DB00986	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Arformoterol	DB01274	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Almitrine	DB01430	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Aclidinium	DB08897	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Umeclidinium	DB09076	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Olodaterol	DB09080	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Vilanterol	DB09082	Chronic Obstructive Airway Disease	C0024117		Approved			1		DOID:3083	chronic obstructive pulmonary disease
Olanzapine	DB00334	Depression, Bipolar	C0005587		Approved			1		DOID:3312	bipolar disorder
Fluoxetine	DB00472	Depression, Bipolar	C0005587		Approved			1		DOID:3312	bipolar disorder
Doxepin	DB01142	Depression, Bipolar	C0005587		Approved			1		DOID:3312	bipolar disorder
Quetiapine	DB01224	Depression, Bipolar	C0005587		Approved			1		DOID:3312	bipolar disorder
Lurasidone	DB08815	Depression, Bipolar	C0005587		Approved			1		DOID:3312	bipolar disorder
Megestrol acetate	DB00351	Endometrial Carcinoma	C0476089		Approved			1		DOID:363	uterine cancer
Progesterone	DB00396	Endometrial Carcinoma	C0476089		Approved			1		DOID:363	uterine cancer
Medroxyprogesterone acetate	DB00603	Endometrial Carcinoma	C0476089		Approved			1		DOID:363	uterine cancer
Mefloquine	DB00358	Malaria, Vivax	C0024537		Approved			1		DOID:12365	malaria
Chloroquine	DB00608	Malaria, Vivax	C0024537		Approved			1		DOID:12365	malaria
Primaquine	DB01087	Malaria, Vivax	C0024537		Approved			1		DOID:12365	malaria
Hydroxychloroquine	DB01611	Malaria, Vivax	C0024537		Approved			1		DOID:12365	malaria
Valrubicin	DB00385	Malignant neoplasm of urinary bladder	C0005684		Approved			1		DOID:11054	urinary bladder cancer
Thiotepa	DB04572	Malignant neoplasm of urinary bladder	C0005684		Approved			1		DOID:11054	urinary bladder cancer
Carbimazole	DB00389	Graves Disease	C0018213		Approved			1		DOID:12361	Graves' disease
Sorafenib	DB00398	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Sirolimus	DB00877	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Sunitinib	DB01268	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Everolimus	DB01590	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Temsirolimus	DB06287	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Pazopanib	DB06589	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Axitinib	DB06626	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Triethylenetetramine	DB06824	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Cabozantinib	DB08875	Renal Cell Carcinoma	C0007134		Approved			1		DOID:263	kidney cancer
Bevacizumab	DB00112	Renal Cell Carcinoma	C0007134	NCT00556205	Withdrawn	Phase 2	Toxicity of combination from other trials	0	True	DOID:263	kidney cancer
Lenalidomide	DB00480	Renal Cell Carcinoma	C0007134	NCT00975806	Terminated	Phase 1/Phase 2	MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.	0	True	DOID:263	kidney cancer
Thalidomide	DB01041	Renal Cell Carcinoma	C0007134	NCT00975806	Terminated	Phase 1/Phase 2	MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.	0	True	DOID:263	kidney cancer
Loxapine	DB00408	Bipolar Disorder	C0005586		Approved			1		DOID:3312	bipolar disorder
Quetiapine	DB01224	Bipolar Disorder	C0005586		Approved			1		DOID:3312	bipolar disorder
Lithium	DB01356	Bipolar Disorder	C0005586		Approved			1		DOID:3312	bipolar disorder
Ziprasidone	DB00246	Bipolar Disorder	C0005586	NCT01113541	Terminated	Phase 3	See termination reason in detailed description.	0	True	DOID:3312	bipolar disorder
Ketamine	DB01221	Bipolar Disorder	C0005586	NCT01504659	Suspended	Phase 2/Phase 3	Protocol Revisions	0	True	DOID:3312	bipolar disorder
Nitric Oxide	DB00435	Persistent Fetal Circulation Syndrome	C0031190		Approved			1		DOID:10763	hypertension
Tolazoline	DB00797	Persistent Fetal Circulation Syndrome	C0031190		Approved			1		DOID:10763	hypertension
Nitrogen	DB09152	Persistent Fetal Circulation Syndrome	C0031190		Approved			1		DOID:10763	hypertension
Sildenafil	DB00203	Persistent Fetal Circulation Syndrome	C0031190	NCT01069861	Terminated	Phase 2	See termination reason in detailed description.	0	True	DOID:10763	hypertension
Bosentan	DB00559	Persistent Fetal Circulation Syndrome	C0031190	NCT01389856	Terminated	Phase 3	To be compliant with the timelines as agreed with Paediatric Committee (PC) within the    Paediatric Investigational Plan	0	True	DOID:10763	hypertension
Nitric Oxide	DB00435	Pulmonary Hypertension	C0020542		Approved			1		DOID:10763	hypertension
Bosentan	DB00559	Pulmonary Hypertension	C0020542		Approved			1		DOID:10763	hypertension
Tadalafil	DB00820	Pulmonary Hypertension	C0020542		Approved			1		DOID:10763	hypertension
Epoprostenol	DB01240	Pulmonary Hypertension	C0020542		Approved			1		DOID:10763	hypertension
Allopurinol	DB00437	Arthritis, Gouty	C0003868		Approved			1		DOID:13189	gout
Betamethasone	DB00443	Arthritis, Gouty	C0003868		Approved			1		DOID:13189	gout
Sulindac	DB00605	Arthritis, Gouty	C0003868		Approved			1		DOID:13189	gout
Triamcinolone	DB00620	Arthritis, Gouty	C0003868		Approved			1		DOID:13189	gout
